id,iterations,layers,qubits,batch_size,time,cpu,memory
05aefb708e62,10,1,2,16,7.577369213104248,22.35,60.7
0d4d94a54d29,10,1,2,32,8.42604112625122,22.450000000000003,61.150000000000006
22723f4b4d15,10,1,4,16,7.492162704467773,21.15,61.1
35fd30043946,10,1,4,32,8.384829044342041,25.700000000000003,61.0
4be4998d9ad3,10,1,6,16,7.6263580322265625,23.799999999999997,61.15
d144e75174ab,10,1,6,32,8.420464038848877,22.85,61.05
6bce9f40d28e,10,2,2,16,8.77160906791687,20.95,61.45
3c9934b20be9,10,2,2,32,10.291556119918823,21.1,61.0
ea422477e625,10,2,4,16,8.882844924926758,22.85,60.95
9e0b5fd4988e,10,2,4,32,10.260451078414917,21.95,61.1
2427025bc438,10,2,6,16,8.947027921676636,21.2,61.099999999999994
a9294d348006,10,2,6,32,10.262602090835571,16.15,61.05
304110e88693,10,4,2,16,11.809396982192993,23.95,61.2
d1d3aad69ea8,10,4,2,32,14.659498929977417,41.05,61.25
c90e07e4ab40,10,4,4,16,12.699164867401123,51.2,61.150000000000006
dc70cde164c8,10,4,4,32,15.776554107666016,52.9,61.45
f0da31f5a23f,10,4,6,16,12.81779670715332,53.8,61.05
3338a803bb65,10,4,6,32,15.882102966308594,51.25,61.099999999999994
e1f2895b0cc4,10,6,2,16,16.078788995742798,54.2,61.7
a627c208a2d3,10,6,2,32,20.795060396194458,53.25,61.4
dd43aff1b80f,10,6,4,16,15.838649272918701,48.75,61.15
c53b98c45429,10,6,4,32,20.779302835464478,56.6,61.8
8ed08af15269,10,6,6,16,16.763678073883057,57.25,62.099999999999994
44b05c50aab9,10,6,6,32,19.883743047714233,50.3,62.3
702fd16b2737,20,1,2,16,12.247927904129028,50.55,62.349999999999994
4f06ba7c2577,20,1,2,32,14.406929731369019,54.25,61.9
b8d60980e37e,20,1,4,16,12.299741268157959,50.0,61.7
59f84cb37a70,20,1,4,32,14.241095066070557,49.55,61.75
1d82c4a17fc1,20,1,6,16,12.3056058883667,49.599999999999994,61.75
711fabee47ce,20,1,6,32,14.287528038024902,49.65,61.95
80d897dc3ff1,20,2,2,16,15.256727933883667,49.3,61.7
cf7807919f54,20,2,2,32,18.588955879211426,49.2,61.6
b1ae81475caa,20,2,4,16,15.462321996688843,48.8,61.55
014d5d7ae25b,20,2,4,32,18.66089701652527,49.150000000000006,61.55
afc36fb41d59,20,2,6,16,15.237650156021118,49.85,61.5
d302fb4869d9,20,2,6,32,18.781023025512695,48.8,61.5
27cd0682da72,20,4,2,16,21.608082056045532,49.8,61.5
efc42d05d4fe,20,4,2,32,27.498503923416138,50.15,61.5
7ea063641a67,20,4,4,16,21.559727907180786,48.5,61.4
49aa8e732bbd,20,4,4,32,27.22658371925354,48.6,61.45
09950439de8a,20,4,6,16,21.68152904510498,49.3,61.45
15812d4064d9,20,4,6,32,27.3387188911438,48.45,61.4
50c2fe56e408,20,6,2,16,27.812514066696167,51.6,61.45
7bb52923b1d1,20,6,2,32,36.090914726257324,48.8,61.5
ffe3dcdd7b6f,20,6,4,16,27.740489959716797,48.849999999999994,61.45
df92f5a1e0b9,20,6,4,32,35.820063829422,48.3,61.4
aa51888d6578,20,6,6,16,27.92459797859192,48.8,61.45
c56def7e6e58,20,6,6,32,35.930957078933716,49.349999999999994,61.4
