id,epochs,layers,qubits,time,cpu,memory
76fdec5a63a7,2,5,4,4.005295276641846,24.05,62.75
9e80617590c1,2,5,6,4.005336046218872,24.049999999999997,62.5
2766f46127a7,2,5,8,4.005232810974121,20.6,62.6
f715216280fa,2,5,10,4.005328893661499,20.950000000000003,62.5
b17bbf052beb,2,5,12,4.005338907241821,20.55,62.5
9585dd954e89,2,10,4,4.005137920379639,21.05,62.5
939797185963,2,10,6,4.002454996109009,19.25,62.5
d7261b1d9178,2,10,8,4.002336025238037,21.9,62.45
56e26c14cbc3,2,10,10,4.004642009735107,21.799999999999997,62.45
c0ea7a5ab0a0,2,10,12,4.0050599575042725,22.2,63.0
9016493a9cd1,2,15,4,4.005144834518433,25.65,62.75
1228df11ce91,2,15,6,4.005198001861572,19.65,62.25
e81572e7bb88,2,15,8,4.005290269851685,19.75,62.4
e40d8eceecc5,2,15,10,4.0052478313446045,20.6,62.4
405d906e4ef4,2,15,12,4.003779888153076,21.7,62.75
37d3b7d50e25,2,20,4,4.005242824554443,30.6,63.25
b7d836cede5f,2,20,6,4.00517201423645,25.450000000000003,63.05
12bab8dcab6b,2,20,8,4.005115032196045,21.95,62.9
3977a7a47ae5,2,20,10,4.005174875259399,27.1,63.0
c75410cbdc60,2,20,12,4.005259990692139,26.8,63.2
091fd4382b1e,2,25,4,4.005107164382935,22.95,62.75
5fafa2ee9cad,2,25,6,4.0051069259643555,23.1,63.150000000000006
13779c19875d,2,25,8,4.0052149295806885,26.05,63.0
cba16a0c5bda,2,25,10,4.0052196979522705,26.0,63.05
2e32e2cf1de6,2,25,12,4.002870082855225,25.65,63.5
d75385920652,4,5,4,4.005251884460449,26.7,63.2
7635c78a4159,4,5,6,4.005204200744629,24.799999999999997,63.25
ff644396fd4b,4,5,8,4.005160808563232,20.200000000000003,63.25
ded849d155a4,4,5,10,4.003370046615601,23.85,63.7
75cd886dcfb4,4,5,12,4.003965854644775,26.15,63.7
c7ad693ac7bc,4,10,4,4.005155801773071,18.65,63.4
c18d3c8a77cf,4,10,6,4.005066394805908,16.85,63.4
1d123dbca450,4,10,8,4.00514817237854,16.25,63.4
89b8b9ec1de0,4,10,10,4.00530219078064,22.0,63.2
899416e941d9,4,10,12,4.005295276641846,24.75,63.45
00c4757b31f8,4,15,4,4.0050458908081055,30.95,63.6
6a9f731e6e5f,4,15,6,4.005120038986206,22.3,63.75
091e8cdc28cd,4,15,8,4.005253791809082,25.0,63.7
7f2553dc7fce,4,15,10,4.005772113800049,26.5,64.05
1747acb90192,4,15,12,4.0056471824646,27.15,63.85
399f982bfec3,4,20,4,4.005119800567627,27.9,63.849999999999994
1e52b633e76c,4,20,6,4.00510311126709,32.400000000000006,65.55000000000001
7170649d41fd,4,20,8,4.005120038986206,28.049999999999997,65.6
1affc41ebede,4,20,10,4.005154609680176,32.6,65.4
5e7816acf716,4,20,12,4.0048229694366455,23.4,65.2
8c6f55562f85,4,25,4,4.005224943161011,36.55,66.0
45c032e559f8,4,25,6,4.001987934112549,31.799999999999997,65.0
b53f8c314622,4,25,8,4.003681659698486,23.1,64.5
e6927dfe5eb7,4,25,10,4.005270004272461,18.0,63.949999999999996
03b16e801403,4,25,12,4.005418062210083,26.55,64.85
c56e07b51f0a,6,5,4,4.00484299659729,21.1,64.25
5c63003f67cd,6,5,6,4.005328178405762,18.25,63.8
b278dbf62fe3,6,5,8,4.005218744277954,22.15,64.1
a192e2492f82,6,5,10,4.002293109893799,26.95,64.25
85306d7a9575,6,5,12,4.004806041717529,28.3,64.3
579749ae7799,6,10,4,4.005169868469238,20.9,64.1
6b14c1083250,6,10,6,4.005238056182861,24.15,63.8
f6cbdaad46ab,6,10,8,4.005489826202393,23.15,63.849999999999994
d8da1ff5d023,6,10,10,4.005244970321655,20.85,63.5
7773e1262621,6,10,12,4.005140066146851,22.95,62.599999999999994
6ddc3aaeb966,6,15,4,4.005162000656128,23.25,64.0
791bdaa6ebc8,6,15,6,4.004712104797363,26.299999999999997,63.849999999999994
24a817129945,6,15,8,4.005194187164307,23.8,64.2
0819a2259399,6,15,10,4.005211114883423,22.45,63.25
82d4ba48bcc8,6,15,12,4.005084991455078,23.15,63.95
33e4d92c4c23,6,20,4,4.005630970001221,21.9,63.5
c49f9674b453,6,20,6,4.005155086517334,21.3,63.6
e60b3beb622b,6,20,8,4.005178213119507,23.799999999999997,63.849999999999994
57d0b83775bf,6,20,10,4.005246877670288,19.15,63.5
d577d1098658,6,20,12,4.005285024642944,22.25,63.150000000000006
aa7370554be4,6,25,4,4.001208066940308,25.6,63.7
4809924e72f4,6,25,6,4.005223989486694,25.2,63.75
3cec918e8852,6,25,8,4.005207777023315,22.799999999999997,63.7
aa01174f4385,6,25,10,4.0052361488342285,22.95,63.6
f46e35988a4a,6,25,12,4.0053160190582275,21.55,63.65
3e108ad25896,8,5,4,4.005216836929321,22.799999999999997,63.55
64e131366a44,8,5,6,4.0051610469818115,23.85,64.2
781927663161,8,5,8,4.000270843505859,22.65,63.65
a700d0e109ad,8,5,10,4.005258083343506,23.25,63.75
8abcc869e074,8,5,12,4.0048987865448,20.6,63.8
94e1819168ba,8,10,4,4.005224943161011,23.549999999999997,63.75
ffbb850faf2d,8,10,6,4.005278825759888,24.75,63.75
2ac97384f686,8,10,8,4.005211114883423,24.1,63.949999999999996
75a9827070e6,8,10,10,4.005232810974121,22.15,63.75
eabeb83239e6,8,10,12,4.005364894866943,23.549999999999997,63.75
35ed5c817826,8,15,4,4.005844354629517,21.9,63.55
fc6c730df7b5,8,15,6,4.005275726318359,21.15,63.65
dda102991c9e,8,15,8,4.005254745483398,23.049999999999997,63.7
e40a85a54868,8,15,10,4.005285739898682,23.1,63.8
9b2122a66b06,8,15,12,4.008906126022339,22.8,63.5
ce271f18fd0c,8,20,4,4.005263805389404,25.55,63.6
2677715b7e72,8,20,6,4.005273103713989,21.05,63.6
2aaef5192ff8,8,20,8,4.005303859710693,22.65,63.75
2a8619b19751,8,20,10,4.005212068557739,22.3,63.8
fb42c71d8fb3,8,20,12,4.0051610469818115,25.700000000000003,63.55
23e05c701c9e,8,25,4,4.005236864089966,22.95,63.75
387c7e98d3db,8,25,6,4.005248069763184,22.25,63.7
a645763ad77e,8,25,8,4.005251884460449,16.7,63.55
45ebe7807197,8,25,10,4.0032172203063965,19.299999999999997,63.45
a233ef6ba0e9,8,25,12,4.005263090133667,17.55,63.7
